type	id	name	attack	defense	owner
boots	817	Tres-Zap	69	74	675
armor	818	Lotstring	28	37	593
sheild	819	Viva	15	19	466
gloves	820	Bamity	48	9	750
armor	821	Tresom	72	33	111
helmet	822	Fintone	7	30	263
helmet	823	Mat Lam Tam	92	66	915
gloves	824	Stronghold	75	94	124
helmet	825	Mat Lam Tam	50	52	48
helmet	826	Cardify	100	12	637
sheild	827	Otcom	15	88	790
sheild	828	Subin	70	37	532
boots	829	Zaam-Dox	99	54	688
sword	830	Voltsillam	48	65	26
armor	831	Domainer	56	75	877
helmet	832	Voltsillam	70	64	826
sheild	833	Span	59	25	422
sword	834	Flexidy	94	2	430
sheild	835	Gembucket	13	68	945
sheild	836	Hatity	85	34	798
sword	837	Voyatouch	40	28	317
armor	838	Tempsoft	67	72	440
sword	839	Wrapsafe	35	51	575
boots	840	Kanlam	1	10	190
gloves	841	Solarbreeze	98	97	535
sword	842	Veribet	47	30	324
helmet	843	Regrant	64	43	736
sword	844	Alphazap	48	5	501
boots	845	Stringtough	5	48	739
sword	846	Gembucket	49	79	862
gloves	847	Gembucket	65	14	671
helmet	848	Tres-Zap	32	1	216
sword	849	Ventosanzap	8	22	118
boots	850	Duobam	43	0	100
gloves	851	Lotstring	66	93	840
helmet	852	Temp	24	61	363
sword	853	Konklab	26	4	897
sword	854	Konklab	66	22	843
sheild	855	Treeflex	66	95	288
helmet	856	Flowdesk	11	47	856
sheild	857	Ronstring	70	78	281
boots	858	Bitchip	15	75	437
armor	859	Andalax	97	56	626
sword	860	Pannier	60	81	49
gloves	861	Overhold	38	8	785
gloves	862	Duobam	1	60	663
armor	863	Fix San	55	66	564
sheild	864	Stim	97	36	572
armor	865	Otcom	70	83	459
helmet	866	Tempsoft	94	3	659
armor	867	Opela	72	39	95
boots	868	Pannier	45	24	416
sword	869	Fix San	34	44	914
boots	870	Fixflex	72	72	675
gloves	871	Flexidy	67	43	5
boots	872	Fix San	56	8	780
armor	873	Solarbreeze	27	72	973
boots	874	Tampflex	30	47	198
gloves	875	Vagram	27	50	659
armor	876	Stim	51	50	102
helmet	877	Toughjoyfax	41	53	958
sword	878	Regrant	73	29	365
sheild	879	Regrant	61	71	331
gloves	880	Vagram	82	92	877
helmet	881	Zaam-Dox	59	42	419
sword	882	Stim	67	99	730
armor	883	Home Ing	44	84	783
sheild	884	Bitwolf	12	20	551
gloves	885	Cardguard	15	53	480
sheild	886	Keylex	7	49	893
sword	887	Konklux	88	27	843
sheild	888	Bamity	46	77	419
gloves	889	Opela	99	14	806
boots	890	Tin	18	42	247
armor	891	Latlux	69	29	405
boots	892	Bigtax	38	47	130
helmet	893	Trippledex	30	71	578
sheild	894	Sonsing	12	36	774
sheild	895	Cardguard	60	61	956
helmet	896	Opela	98	61	775
boots	897	Span	22	15	2
helmet	898	Job	58	29	80
gloves	899	Konklab	51	15	284
sword	900	Fix San	57	77	717
gloves	901	Tresom	80	48	826
armor	902	Subin	24	49	150
sheild	903	Flexidy	58	26	469
gloves	904	Tempsoft	77	30	839
boots	905	Greenlam	32	47	598
sheild	906	Matsoft	64	75	173
boots	907	Latlux	31	28	285
sword	908	Zontrax	4	28	320
armor	909	Gembucket	16	79	597
helmet	910	Mat Lam Tam	5	57	32
boots	911	It	82	69	15
gloves	912	Solarbreeze	83	85	842
boots	913	Tres-Zap	11	50	350
armor	914	Flexidy	3	79	820
sheild	915	Gembucket	42	56	602
helmet	916	Veribet	50	55	552
armor	917	Y-Solowarm	92	57	437
helmet	918	Solarbreeze	13	76	382
sheild	919	Latlux	29	80	130
helmet	920	Ronstring	51	89	226
sword	921	Voyatouch	20	90	407
sheild	922	Bitwolf	71	85	306
sheild	923	Cookley	53	80	113
helmet	924	Opela	23	95	333
gloves	925	Alphazap	21	78	267
helmet	926	Tres-Zap	81	92	613
sheild	927	Sonsing	76	12	334
gloves	928	Aerified	37	24	968
gloves	929	Konklux	98	63	156
sheild	930	Voltsillam	19	8	594
gloves	931	Zaam-Dox	18	95	530
boots	932	Y-Solowarm	46	83	738
gloves	933	Latlux	95	1	101
sheild	934	Zontrax	81	16	462
gloves	935	Kanlam	84	82	918
sword	936	Treeflex	0	25	496
boots	937	Zathin	52	98	679
gloves	938	Konklux	27	67	532
gloves	939	Bamity	25	100	538
armor	940	Otcom	51	47	180
armor	941	Lotstring	47	98	522
gloves	942	Daltfresh	71	78	772
sword	943	Sonsing	93	77	168
sheild	944	Job	87	26	487
helmet	945	Gembucket	77	97	489
sheild	946	Viva	99	27	188
sheild	947	Stringtough	85	48	336
gloves	948	Cookley	48	3	341
sword	949	Andalax	99	25	631
sword	950	Stronghold	77	49	902
sword	951	Fixflex	70	59	14
sword	952	Bitchip	40	76	66
gloves	953	Y-Solowarm	100	23	40
boots	954	Overhold	31	76	175
helmet	955	Zaam-Dox	98	8	670
armor	956	Konklux	74	61	415
boots	957	Tresom	35	83	369
helmet	958	Zontrax	18	5	644
armor	959	Opela	87	50	865
boots	960	Kanlam	61	2	76
boots	961	Toughjoyfax	67	24	269
helmet	962	Transcof	62	13	250
gloves	963	Temp	78	10	75
boots	964	Pannier	25	26	950
helmet	965	Bitwolf	83	25	8
boots	966	Holdlamis	52	16	598
gloves	967	Sub-Ex	29	23	800
sword	968	Gembucket	53	74	346
helmet	969	Y-find	75	54	991
sheild	970	Span	11	64	842
boots	971	Sub-Ex	35	44	195
boots	972	Ronstring	50	49	114
sword	973	Bytecard	67	100	641
helmet	974	Zamit	10	100	200
sheild	975	Zoolab	34	34	705
gloves	976	Stim	53	15	244
sword	977	Sonsing	71	23	706
sheild	978	Regrant	90	45	664
gloves	979	Otcom	22	49	809
sword	980	Zamit	23	0	896
gloves	981	Flowdesk	59	38	797
gloves	982	Kanlam	83	74	486
sheild	983	Flowdesk	65	34	627
sheild	984	Toughjoyfax	44	68	513
armor	985	Lotlux	90	70	71
armor	986	Fintone	50	6	928
helmet	987	Ronstring	38	39	514
gloves	988	Tin	17	69	975
helmet	989	Sub-Ex	17	59	280
boots	990	Job	72	97	237
helmet	991	Ronstring	81	41	889
boots	992	Tampflex	28	65	759
armor	993	Toughjoyfax	23	89	347
helmet	994	Cardguard	85	49	776
gloves	995	Cookley	1	85	297
sheild	996	Overhold	80	37	468
boots	997	Ventosanzap	53	57	320
armor	998	Y-find	89	50	115
sword	999	Y-Solowarm	87	74	871
helmet	1000	Bitchip	41	72	667
