name	wins	losses	team	membership
ikempstonend	126	199	36	platinum
zeloyne	180	115	30	platinum
kcorpnf	59	27	98	\N
oattyeong	139	35	45	\N
cbuftonnh	52	39	49	gold
wporterni	163	125	\N	platinum
rdermotnj	6	103	2	\N
mellsomnk	45	158	48	gold
fdickinsnl	76	49	62	silver
gbrosinm	41	12	67	platinum
wyanyshevnn	79	14	76	\N
abillinno	174	115	90	platinum
vkleingrubnp	21	12	34	\N
bcordingleynq	199	14	44	silver
jlethamnr	28	21	17	silver
pblaiklockns	146	19	51	silver
bcosleynt	46	49	76	gold
jtolcharnu	129	141	9	gold
kbenitonv	58	176	15	gold
toruanenw	159	10	59	\N
mtaleworthnx	176	148	45	gold
gfeaveryearny	189	83	14	silver
dfallennz	64	96	22	\N
idorgono0	16	142	64	silver
lristeo1	8	136	58	silver
sbranscombo2	184	144	55	gold
skinnocho3	145	42	15	\N
gmartlewo4	99	44	67	gold
kbrechino5	77	183	71	\N
jgiacomio6	4	9	10	platinum
kjohnyso7	154	92	89	gold
bbazeleyo8	1	3	26	platinum
lgamblino9	75	163	72	gold
jbrickoa	39	99	49	\N
goroanob	57	111	33	silver
cverdenoc	94	2	74	silver
etubridyod	78	160	98	gold
hmeekinsoe	83	200	\N	gold
cherremaof	104	153	92	platinum
ntosneyog	24	163	21	gold
plippiattoh	192	34	15	platinum
mstalfoi	89	97	5	gold
smaundersoj	192	25	80	\N
wspranklingok	151	56	43	platinum
jabisettiol	157	167	12	gold
dguillermanom	45	72	62	platinum
mfermoron	188	57	\N	\N
mpetricekoo	17	186	29	platinum
dvialsop	198	51	80	\N
qgeartyoq	102	83	99	gold
corpinor	39	68	68	gold
dmaccrackenos	139	71	7	platinum
fparkesonot	179	164	53	silver
vbartiou	159	152	25	gold
jwoollettov	174	157	86	platinum
mlaingeow	140	132	67	platinum
asmeedox	78	112	76	gold
rfreezoroy	184	128	44	gold
epenquetoz	42	107	49	\N
wstandonp0	39	5	77	\N
cperrinsp1	109	43	31	silver
bespadaterp2	200	121	99	silver
wcoviellop3	133	122	46	gold
staffeep4	67	115	4	silver
tmcmurrayp5	193	133	\N	\N
clinep6	169	137	12	gold
cmeachemp7	44	145	59	silver
mlagdenp8	55	33	53	platinum
pnaerupp9	86	53	20	gold
mfarrellpa	0	7	62	platinum
jbissikerpb	182	90	49	\N
afinniganpc	118	84	17	silver
ppickaverpd	78	108	73	silver
ldugaldpe	81	53	\N	platinum
vcestardpf	154	187	88	platinum
wbencherpg	157	65	94	platinum
odarracottph	115	110	19	silver
kfirkspi	22	162	89	platinum
dcubittpj	119	187	94	gold
bclearypk	53	36	36	silver
smcparlandpl	22	43	\N	gold
bgladdinpm	54	72	\N	silver
kgirardeypn	128	12	60	gold
plomispo	13	198	20	silver
isharvillepp	106	0	44	gold
iarchanbaultpq	127	29	24	\N
bdimitrescopr	172	168	87	platinum
qbaudoneps	79	108	98	gold
ecattowpt	41	46	97	gold
vstenhousepu	180	193	\N	platinum
dstorahpv	168	16	53	platinum
smcsorleypw	38	100	66	gold
bogeneaypx	97	95	44	platinum
msentenpy	166	154	29	platinum
chorsfieldpz	32	78	79	silver
rmarioneauq0	44	171	58	\N
jnottq1	141	126	25	platinum
kyoakleyq2	174	48	78	gold
pskirvinq3	74	157	23	platinum
mstatersfieldq4	138	41	99	\N
drobynsq5	175	181	\N	\N
dburnupq6	7	172	27	silver
gsearsq7	78	136	47	gold
cpopelayq8	179	186	\N	\N
rmerricksq9	2	177	57	silver
dsedgemoreqa	190	140	34	gold
bbrownsworthqb	47	43	6	platinum
sdanilovicqc	2	71	34	gold
jolliffeqd	182	17	6	gold
ngibbonqe	120	174	92	gold
ctizzardqf	160	63	75	platinum
dcrookstonqg	176	24	47	platinum
scrambqh	175	154	85	platinum
ifilchakovqi	188	88	59	gold
callisonqj	148	137	57	silver
lcullingtonqk	114	196	82	silver
tkerwinql	113	127	83	silver
cjordisonqm	119	110	80	platinum
kpauerqn	194	63	95	\N
drodgeqo	110	93	41	platinum
hashingdenqp	71	21	34	gold
imacpadenqq	100	66	74	\N
fdedneyqr	41	135	\N	silver
sfinlasonqs	35	134	25	platinum
bcraceqt	157	49	46	\N
gjovanovicqu	35	3	26	platinum
cedonqv	26	131	61	\N
ccapeqw	129	187	58	\N
civoryqx	59	83	77	\N
ecockneyqy	90	47	72	\N
jwakefordqz	163	130	25	gold
tspinasr0	114	182	62	\N
prumbelowr1	200	161	31	gold
lstrather2	26	105	47	silver
lconcannonr3	91	89	49	gold
srosensaftr4	94	42	59	gold
scallaghanr5	113	23	2	\N
dfleyr6	144	103	70	platinum
ymelbertr7	15	0	91	gold
lritterr8	26	169	59	\N
mdayer9	39	101	74	gold
lhalvorsenra	4	94	31	gold
clongegarb	187	37	90	silver
dgleaverc	8	124	13	\N
shellingsrd	70	56	65	gold
ogoldesre	47	0	84	silver
rdillingerrf	71	152	48	platinum
lcowlandrg	17	200	13	platinum
nserrellrh	56	23	64	silver
wquareri	132	188	42	gold
mshalloorj	171	184	34	gold
bmackeegrk	69	77	3	silver
mallnerrl	7	116	64	gold
daggasrm	129	96	56	silver
scoultasrn	179	117	79	gold
lcostero	174	61	27	\N
ahavikrp	97	182	\N	\N
cwynchrq	157	45	64	silver
rluquetrr	33	193	79	platinum
